company_name,industry,sector,headquarters,file_name
Diamond Aircraft Industries,Consumer goods,Aerospace,Wiener Neustadt,MalPatSaj_wikipedia
Doka Group,Industrials,Heavy construction,Amstetten,MalPatSaj_wikipedia
Doppelmayr Garaventa Group,Consumer goods,Recreational products,Wolfurt,MalPatSaj_wikipedia
Dorotheum,Consumer services,Specialized consumer services,Vienna,MalPatSaj_wikipedia
Erste Bank,Financials,Banks,Vienna,MalPatSaj_wikipedia
Fabasoft,Technology,Software,Linz,MalPatSaj_wikipedia
Fischer,Consumer goods,Recreational products,Ried im Innkreis,MalPatSaj_wikipedia
Frequentis,Technology,Telecommunications equipment,Vienna,MalPatSaj_wikipedia
GE Jenbacher,Industrials,Industrial machinery,Jenbach,MalPatSaj_wikipedia
Gericom,Technology,Computer hardware,Linz,MalPatSaj_wikipedia
Gessler,Consumer goods,Distillers & vintners,Vienna,MalPatSaj_wikipedia
Glock Ges.m.b.H.,Industrials,Defense,Deutsch-Wagram,MalPatSaj_wikipedia
Goldscheider ceramics,Consumer goods,Durable household products,Vienna,MalPatSaj_wikipedia
Julius Blum,Consumer goods,Furnishings,Höchst,MalPatSaj_wikipedia
Julius Meinl,Consumer goods,Beverages,Vienna,MalPatSaj_wikipedia
Kapsch,Technology,Telecommunications equipment,Vienna,MalPatSaj_wikipedia
Kika,Consumer goods,Furnishings,Vienna,MalPatSaj_wikipedia
Kores,Consumer goods,Nondurable household products,Vienna,MalPatSaj_wikipedia
KTM,Consumer goods,Automobiles,Mattighofen,MalPatSaj_wikipedia
Lenzing AG,Basic materials,Commodity chemicals,Lenzing,MalPatSaj_wikipedia
Löblich & Co.,Industrials,Industrial machinery,Vienna,MalPatSaj_wikipedia
Lyoness,Consumer services,Specialized consumer services,Graz,MalPatSaj_wikipedia
Magna Steyr,Consumer goods,Automobiles,Graz,MalPatSaj_wikipedia
Mayr-Melnhof,Industrials,Containers & packaging,Vienna,MalPatSaj_wikipedia
Neumann International,Industrials,Business training & employment agencies,Vienna,MalPatSaj_wikipedia
Niki,Consumer services,Airlines,Schwechat,MalPatSaj_wikipedia
Noctua,Consumer goods,Computer hardware,Vienna,MalPatSaj_wikipedia
ÖAF,Consumer goods,Automobiles,Floridsdorf,MalPatSaj_wikipedia
ÖBB,Industrials,Railroads,Vienna,MalPatSaj_wikipedia
OMV,Oil & gas,Exploration & production,Vienna,MalPatSaj_wikipedia
Onepharm,Health care,Biotechnology,Vienna,MalPatSaj_wikipedia
Österreichische Industrieholding AG,Financials,Asset managers,Vienna,MalPatSaj_wikipedia
Österreichische Post,Logistics,Delivery services,Vienna,MalPatSaj_wikipedia
Palfinger,Industrials,Commercial vehicles & trucks,Salzburg,MalPatSaj_wikipedia
Pfanner,Consumer goods,Beverages,Lauterach,MalPatSaj_wikipedia
Piatnik & Söhne,Consumer goods,Recreational products,Vienna,MalPatSaj_wikipedia
Plansee Group,Basic materials,Commodity chemicals,Breitenwang,MalPatSaj_wikipedia
Puch,Consumer goods,Automobiles,Graz,MalPatSaj_wikipedia
Raiffeisen,Financials,Banks,Vienna,MalPatSaj_wikipedia
Red Bull GmbH,Consumer goods,Beverages,Fuschl am See,MalPatSaj_wikipedia
RHI AG,Industrials,Industrial suppliers,Vienna,MalPatSaj_wikipedia
